Age,Salary,Gender,Location,Property_Type,RAM,Credit_Score,Churn,Marital_Status,Dependents,Employment_Type,Loan_Amount,Internet_Usage,Fraud_Suspected,Approved_Loan
Unknown,N/A,Female,,2BHK,16GB,700,Yes,,N/A,Unemployed,150000,Low,No,Yes
30,90000,M,New York,3BHK,2GB,Excellent,No,Single,1,Business,,Low,No,
45,90000,F,Los Angeles,3BHK,32GB,400,Yes,Married,1,Unemployed,20000,,No,Yes
Unknown,70000,Other,Chicago,Studio,8GB,800,Yes,Single,N/A,,5000,Medium,No,Yes
25,1500000,M,New York,Studio,8GB,700,Yes,Single,1,Unemployed,Unknown,Medium,No,No
40,60000,Male,New York,2BHK,2GB,300,Yes,Widowed,,,150000,High,No,Yes
Unknown,70000,,,3BHK,2GB,,No,Divorced,3,Business,Unknown,Medium,No,Yes
35,N/A,Female,Chicago,2BHK,,800,Yes,,,Business,Unknown,Low,No,Yes
28,80000,Male,Chicago,3BHK,,,Yes,Single,0,Salaried,150000,Medium,No,Yes
30,,Male,Los Angeles,3BHK,,,Yes,,2,,Unknown,Medium,No,No
,70000,F,Chicago,4bhk,4GB,500,Yes,Single,0,,10000,Very High,No,
Unknown,90000,Male,New York,1BHK,8GB,400,Yes,Married,2,Self-Employed,20000,Low,No,No
30,70000,Male,New York,3BHK,32GB,400,Yes,Single,3,Self-Employed,,Medium,No,Yes
,60000,Female,New York,3BHK,16GB,800,Yes,Widowed,1,Self-Employed,Unknown,Medium,No,
Unknown,70000,Other,New York,4bhk,2GB,,Yes,Divorced,,Unemployed,Unknown,,No,
Unknown,,Male,Chicago,3BHK,32GB,400,Yes,Married,N/A,Self-Employed,50000,Medium,No,Yes
,60000,Other,New York,2BHK,16GB,300,Yes,Single,,,20000,Medium,No,
,50000,F,Los Angeles,3BHK,,700,Yes,,3,Unemployed,5000,Very High,No,No
25,,M,New York,2BHK,,700,Yes,Married,0,Business,20000,Low,No,
30,90000,,New York,1BHK,6GB,300,Yes,Married,N/A,Salaried,20000,High,No,Yes
40,90000,,New York,3BHK,8GB,800,Yes,Single,1,Self-Employed,150000,Low,No,Yes
25,,Male,Chicago,1BHK,8GB,500,Yes,Married,3,Business,150000,,No,Yes
Unknown,90000,Male,New York,4bhk,,500,Yes,,N/A,,150000,Low,No,Yes
40,60000,,Los Angeles,1BHK,2GB,600,Yes,Married,3,Salaried,,Medium,No,No
30,70000,Male,New York,Studio,6GB,700,Yes,,3,Business,20000,,No,Yes
,90000,Male,New York,Studio,,,Yes,Single,1,Salaried,,Low,No,Yes
28,60000,Other,,3BHK,4GB,600,Yes,Divorced,2,Self-Employed,Unknown,,No,No
,90000,Male,Los Angeles,3BHK,8GB,700,Yes,Married,N/A,,150000,High,No,Yes
30,1500000,Male,,4bhk,8GB,600,Yes,Divorced,1,Salaried,Unknown,Low,No,Yes
28,60000,Male,Chicago,3BHK,6GB,Excellent,Yes,,3,Business,150000,Medium,No,Yes
,60000,,,Studio,2GB,500,Yes,Married,1,Self-Employed,10000,,No,Yes
30,1500000,,Chicago,2BHK,32GB,500,Yes,Widowed,2,Self-Employed,,Very High,No,
,80000,Male,Los Angeles,3BHK,16GB,700,Yes,Divorced,,Business,,,Yes,Yes
40,80000,,Los Angeles,2BHK,2GB,300,Yes,Married,N/A,Business,5000,Very High,No,No
35,1500000,Male,New York,3BHK,,800,Yes,Divorced,2,Salaried,50000,Medium,No,No
,60000,Female,New York,1BHK,,Poor,Yes,Married,0,Unemployed,20000,High,No,Yes
30,80000,,Los Angeles,4bhk,16GB,,Yes,Single,N/A,Self-Employed,5000,Very High,No,No
Unknown,90000,Other,Chicago,Studio,16GB,500,Yes,Divorced,2,Salaried,,High,No,Yes
,80000,Male,New York,1BHK,2GB,300,Yes,Widowed,3,Business,5000,,No,Yes
30,90000,Other,New York,1BHK,32GB,700,Yes,Widowed,N/A,Salaried,10000,Medium,No,No
Unknown,1500000,M,New York,2BHK,6GB,300,Yes,,N/A,Business,50000,Very High,No,Yes
,60000,Male,Chicago,3BHK,6GB,500,Yes,Married,1,,,,No,Yes
Unknown,1500000,M,New York,2BHK,16GB,Poor,Yes,Divorced,3,Business,,Low,No,Yes
30,1500000,Male,New York,Studio,6GB,300,Yes,,0,Business,20000,,No,Yes
Unknown,70000,,Los Angeles,4bhk,32GB,400,Yes,Divorced,,Business,150000,High,No,
Unknown,1500000,Male,Los Angeles,Studio,2GB,500,Yes,Married,2,Unemployed,50000,Medium,No,Yes
28,,F,Los Angeles,Studio,4GB,400,Yes,Widowed,1,Business,10000,Medium,No,Yes
30,1500000,Male,Los Angeles,1BHK,16GB,700,Yes,Single,2,Self-Employed,Unknown,,No,Yes
,90000,F,New York,Studio,2GB,,Yes,Widowed,0,Self-Employed,5000,Low,No,Yes
45,70000,M,Chicago,3BHK,8GB,,Yes,,0,Salaried,20000,High,No,
25,60000,M,Los Angeles,3BHK,,,Yes,Single,N/A,Unemployed,,,No,
30,60000,F,New York,2BHK,,700,Yes,,0,Salaried,Unknown,,No,No
,1500000,,Chicago,1BHK,8GB,700,Yes,Married,2,Self-Employed,10000,Medium,No,No
Unknown,70000,F,Chicago,2BHK,2GB,400,Yes,Single,3,Self-Employed,50000,High,No,No
45,N/A,,New York,4bhk,8GB,Poor,Yes,,3,,5000,Low,No,Yes
,90000,Other,Chicago,1BHK,2GB,Excellent,Yes,Married,N/A,Business,20000,Medium,No,No
40,,Male,Los Angeles,1BHK,6GB,400,Yes,Widowed,,Self-Employed,,,No,Yes
30,70000,Male,Los Angeles,1BHK,2GB,400,No,Married,2,Salaried,,Medium,No,
28,60000,Male,New York,3BHK,2GB,700,Yes,Divorced,2,Salaried,Unknown,Medium,No,
,80000,Other,Chicago,Studio,2GB,Excellent,Yes,Married,0,Business,Unknown,Very High,No,No
Unknown,90000,M,Los Angeles,4bhk,16GB,600,Yes,Married,2,Business,5000,Medium,No,
,1500000,M,New York,3BHK,16GB,,Yes,Divorced,1,,50000,Medium,No,Yes
Unknown,90000,Other,Los Angeles,Studio,2GB,700,No,,,Unemployed,10000,High,No,Yes
,60000,F,Chicago,3BHK,16GB,600,No,,0,Salaried,150000,Medium,No,Yes
,1500000,,New York,2BHK,32GB,,Yes,Married,1,Business,50000,Low,No,
Unknown,60000,Other,New York,3BHK,,700,Yes,Divorced,N/A,Salaried,50000,,No,Yes
,,M,,1BHK,4GB,Excellent,Yes,Divorced,3,Business,50000,High,No,No
45,,Male,New York,2BHK,4GB,600,Yes,Widowed,N/A,Self-Employed,150000,Medium,No,
28,50000,Female,New York,3BHK,8GB,700,Yes,,3,Salaried,5000,Low,No,Yes
,80000,M,New York,1BHK,16GB,Excellent,Yes,Single,N/A,Self-Employed,150000,,Yes,No
40,80000,Male,New York,3BHK,2GB,,Yes,,2,Salaried,5000,High,No,Yes
,60000,Male,Los Angeles,3BHK,8GB,400,Yes,,1,Unemployed,150000,Low,No,Yes
Unknown,60000,,New York,4bhk,16GB,300,Yes,Widowed,3,,10000,Medium,No,Yes
,90000,,New York,3BHK,8GB,700,Yes,Single,0,Self-Employed,50000,Very High,No,No
Unknown,70000,,Chicago,3BHK,8GB,500,Yes,Widowed,1,Business,5000,Very High,No,
28,80000,Male,Chicago,Studio,16GB,,Yes,Single,0,Unemployed,150000,High,No,Yes
30,90000,F,Los Angeles,3BHK,8GB,,Yes,Married,1,Salaried,10000,Low,No,Yes
Unknown,1500000,F,Chicago,2BHK,32GB,800,Yes,Single,1,Self-Employed,150000,,No,No
30,90000,Female,New York,3BHK,4GB,300,Yes,Widowed,N/A,Salaried,,Low,No,Yes
30,60000,Male,Los Angeles,3BHK,,Excellent,Yes,,3,Salaried,10000,Very High,No,
,1500000,,Chicago,2BHK,16GB,500,Yes,Single,3,Salaried,50000,High,No,
,1500000,M,Chicago,4bhk,,800,Yes,Single,1,,20000,Medium,No,
30,90000,F,New York,1BHK,2GB,500,Yes,Divorced,2,,50000,Low,No,
,70000,Other,New York,2BHK,,400,Yes,,2,Business,20000,Very High,No,Yes
35,80000,,Los Angeles,2BHK,,Poor,Yes,Married,0,Self-Employed,10000,,No,Yes
28,1500000,,Los Angeles,1BHK,2GB,800,Yes,Widowed,0,Unemployed,,High,No,No
28,,Male,New York,Studio,2GB,Excellent,Yes,Married,N/A,Unemployed,,Medium,No,Yes
,70000,Male,Chicago,Studio,32GB,,Yes,,1,Unemployed,5000,Low,No,Yes
28,70000,Male,New York,3BHK,32GB,,Yes,Single,0,Salaried,,,No,
40,80000,Other,Los Angeles,3BHK,16GB,Poor,Yes,Single,0,,Unknown,Medium,No,Yes
28,60000,Male,Los Angeles,Studio,,300,Yes,,,Self-Employed,10000,Very High,No,Yes
30,90000,Other,New York,Studio,16GB,800,Yes,Single,1,Salaried,5000,Very High,No,Yes
40,80000,Male,New York,Studio,16GB,,Yes,Single,N/A,,,,No,Yes
,,Male,Chicago,Studio,32GB,400,Yes,Single,0,,10000,Very High,No,No
,N/A,Other,Chicago,2BHK,2GB,400,Yes,Widowed,N/A,Self-Employed,50000,High,No,
30,60000,,New York,4bhk,32GB,800,Yes,Widowed,3,Self-Employed,,,No,Yes
28,50000,Male,,Studio,,Excellent,Yes,Divorced,N/A,Self-Employed,150000,Very High,No,No
,1500000,,Los Angeles,4bhk,6GB,,Yes,Married,2,Salaried,20000,Low,No,Yes
25,70000,M,,4bhk,6GB,700,Yes,,2,Business,10000,Very High,No,
Unknown,50000,Male,,Studio,,700,Yes,,N/A,Self-Employed,5000,High,No,
,N/A,Male,Chicago,2BHK,8GB,,Yes,,2,Business,50000,Medium,No,
30,1500000,M,Chicago,Studio,6GB,300,No,Divorced,3,Salaried,Unknown,Medium,No,Yes
,70000,Male,New York,3BHK,8GB,800,Yes,Widowed,1,Business,50000,Very High,No,Yes
28,90000,Male,Chicago,4bhk,8GB,Poor,Yes,Divorced,2,Unemployed,,Medium,No,
30,N/A,,Los Angeles,2BHK,,,Yes,,2,Business,20000,Very High,No,No
35,N/A,Female,New York,1BHK,,Excellent,Yes,Married,N/A,Self-Employed,50000,High,No,Yes
28,70000,,Chicago,4bhk,8GB,,Yes,Single,3,Salaried,Unknown,Medium,No,
40,N/A,Male,New York,1BHK,32GB,600,Yes,Widowed,1,Self-Employed,150000,Low,No,
,1500000,F,,1BHK,16GB,400,Yes,Widowed,N/A,Unemployed,5000,Very High,No,No
28,90000,,Chicago,3BHK,,500,Yes,Divorced,N/A,Self-Employed,10000,Medium,No,Yes
,N/A,F,Los Angeles,1BHK,,Poor,Yes,Widowed,,Self-Employed,20000,High,No,
28,N/A,F,New York,3BHK,2GB,400,Yes,,3,Self-Employed,Unknown,High,No,
45,1500000,Female,Los Angeles,2BHK,8GB,,Yes,,1,,,Low,No,No
,80000,Male,Chicago,3BHK,2GB,Excellent,Yes,Divorced,3,Unemployed,,High,No,Yes
40,80000,Male,Los Angeles,Studio,,300,Yes,,1,Self-Employed,,High,No,
35,N/A,Female,New York,2BHK,32GB,Poor,Yes,Married,3,Self-Employed,20000,Medium,No,Yes
Unknown,1500000,Male,New York,2BHK,2GB,400,Yes,Divorced,N/A,Self-Employed,50000,Very High,No,Yes
45,90000,,New York,2BHK,8GB,Poor,Yes,Married,N/A,Salaried,20000,,No,
40,1500000,Female,Chicago,1BHK,2GB,,Yes,Single,0,,,High,No,No
25,N/A,Male,Los Angeles,2BHK,2GB,Excellent,Yes,Married,2,Salaried,150000,High,No,Yes
30,70000,Male,New York,Studio,8GB,Excellent,Yes,Single,,,Unknown,,No,Yes
,90000,Male,New York,2BHK,,600,Yes,Single,3,Self-Employed,10000,High,No,Yes
30,80000,Male,New York,2BHK,16GB,400,Yes,Married,,Unemployed,10000,Medium,No,Yes
Unknown,60000,Female,Chicago,4bhk,16GB,Excellent,Yes,Divorced,0,Business,20000,Medium,No,Yes
30,60000,,New York,Studio,16GB,Excellent,Yes,,2,Business,,,No,Yes
30,80000,,New York,Studio,16GB,400,Yes,,3,Self-Employed,5000,High,No,
30,60000,Female,Los Angeles,3BHK,16GB,Excellent,Yes,Single,1,Salaried,150000,High,No,Yes
Unknown,1500000,M,Los Angeles,3BHK,32GB,Excellent,Yes,Single,2,Unemployed,20000,Very High,No,Yes
Unknown,50000,Male,Los Angeles,2BHK,8GB,700,Yes,Divorced,N/A,,,High,No,
,,,Los Angeles,3BHK,16GB,600,No,Widowed,0,Self-Employed,50000,Medium,No,No
30,70000,M,Los Angeles,3BHK,2GB,Excellent,Yes,Married,2,Unemployed,10000,Low,No,Yes
30,60000,Female,Los Angeles,2BHK,16GB,700,Yes,Single,2,Unemployed,10000,Low,No,No
Unknown,90000,Male,New York,3BHK,8GB,500,Yes,,N/A,,150000,Low,No,
,60000,Male,Chicago,4bhk,2GB,400,Yes,Divorced,3,Unemployed,10000,Low,No,Yes
25,60000,Male,,Studio,2GB,700,Yes,Married,1,Salaried,5000,High,Yes,
28,70000,Male,Chicago,2BHK,2GB,300,Yes,Divorced,N/A,Salaried,,High,No,Yes
,60000,Male,New York,Studio,32GB,,Yes,Married,1,Salaried,,Very High,No,
30,1500000,,New York,Studio,16GB,700,Yes,Married,3,Unemployed,150000,High,No,
,70000,Male,Los Angeles,4bhk,,Excellent,Yes,Single,2,Salaried,,Low,No,
30,80000,Male,Chicago,4bhk,,400,Yes,Divorced,1,,150000,,No,Yes
45,90000,,Los Angeles,3BHK,8GB,600,Yes,Divorced,0,Unemployed,,,No,
Unknown,,Male,,Studio,8GB,,Yes,,0,Business,5000,Medium,No,No
28,60000,Female,Chicago,Studio,32GB,700,No,,N/A,Unemployed,Unknown,Medium,No,No
Unknown,70000,,New York,Studio,2GB,500,Yes,Single,3,,20000,High,No,Yes
25,70000,,Chicago,3BHK,,300,Yes,Single,N/A,Business,20000,,No,
35,70000,Male,New York,3BHK,8GB,Excellent,Yes,Widowed,N/A,Unemployed,,Low,No,Yes
30,90000,Other,Los Angeles,4bhk,2GB,,Yes,,,Salaried,50000,Low,No,No
25,,F,Los Angeles,4bhk,16GB,,Yes,Married,N/A,Self-Employed,10000,Low,Yes,No
30,90000,Male,New York,Studio,32GB,,Yes,Divorced,,Self-Employed,5000,High,No,Yes
25,60000,,New York,3BHK,8GB,Excellent,Yes,Single,0,Salaried,50000,High,No,Yes
Unknown,70000,Male,Chicago,2BHK,2GB,400,Yes,Divorced,0,Self-Employed,50000,Very High,No,
25,1500000,Male,Chicago,1BHK,2GB,,Yes,Divorced,N/A,Self-Employed,,Low,No,
30,90000,Male,Los Angeles,3BHK,2GB,,Yes,Widowed,0,Salaried,5000,Low,No,Yes
30,N/A,Female,,Studio,8GB,600,Yes,,3,Salaried,20000,High,No,Yes
45,70000,Male,,Studio,,,Yes,Single,,Unemployed,10000,High,No,
,90000,Female,Los Angeles,3BHK,8GB,Excellent,Yes,Divorced,,Unemployed,20000,Very High,No,
Unknown,1500000,F,Los Angeles,4bhk,8GB,400,No,Single,N/A,Salaried,50000,Very High,No,Yes
40,60000,F,New York,2BHK,8GB,600,Yes,Married,0,,10000,Medium,No,Yes
45,1500000,F,Chicago,4bhk,6GB,Excellent,No,Widowed,1,Self-Employed,Unknown,,No,
Unknown,N/A,Male,Los Angeles,Studio,16GB,,Yes,Married,,Unemployed,50000,Low,No,Yes
,60000,Male,,3BHK,16GB,400,Yes,Single,N/A,Self-Employed,20000,Low,No,
35,80000,Female,New York,3BHK,2GB,500,Yes,Single,N/A,Business,20000,Very High,No,
30,1500000,,Los Angeles,3BHK,32GB,400,Yes,,3,Salaried,,Very High,No,Yes
28,70000,M,,4bhk,8GB,,Yes,Divorced,2,,20000,Medium,No,No
40,80000,Male,Los Angeles,4bhk,8GB,,No,Divorced,2,Business,5000,,No,Yes
40,90000,F,,4bhk,8GB,,Yes,Married,,Business,50000,Medium,No,Yes
25,N/A,Male,New York,Studio,,600,Yes,Widowed,3,Business,150000,,No,Yes
Unknown,70000,Male,Chicago,Studio,8GB,800,Yes,Divorced,3,Salaried,150000,Low,No,Yes
,1500000,,Los Angeles,Studio,2GB,400,Yes,,3,Unemployed,10000,Medium,No,No
Unknown,1500000,M,New York,3BHK,,600,No,Married,,Salaried,20000,Very High,No,No
30,70000,M,Chicago,3BHK,32GB,,Yes,Married,2,Unemployed,,Medium,No,No
25,70000,F,New York,Studio,,,Yes,,3,Business,,Medium,No,Yes
25,60000,Female,Los Angeles,2BHK,16GB,Excellent,Yes,Widowed,0,Business,20000,Low,No,No
,90000,F,New York,3BHK,,Excellent,Yes,,N/A,,5000,Very High,No,
,1500000,,Los Angeles,Studio,,,Yes,Widowed,N/A,Unemployed,,Very High,No,No
,90000,M,New York,4bhk,16GB,300,Yes,,1,Business,150000,High,No,
28,90000,Male,Chicago,1BHK,,400,Yes,,1,Self-Employed,10000,High,No,Yes
,70000,Male,Chicago,1BHK,6GB,300,Yes,Single,,,50000,High,No,No
40,60000,Female,Los Angeles,1BHK,,500,Yes,Married,,Salaried,Unknown,Low,No,Yes
28,1500000,Male,,3BHK,2GB,,Yes,,N/A,,5000,Medium,No,Yes
Unknown,90000,Male,Los Angeles,Studio,6GB,700,Yes,,0,Self-Employed,,Very High,No,Yes
,70000,F,Chicago,3BHK,,,Yes,Divorced,2,Unemployed,50000,Very High,No,
,60000,Male,New York,2BHK,2GB,Excellent,Yes,Married,2,Salaried,Unknown,Medium,No,No
Unknown,90000,Male,Los Angeles,3BHK,16GB,Excellent,Yes,Divorced,,Salaried,20000,Very High,No,Yes
,,Male,Los Angeles,Studio,8GB,Excellent,Yes,Married,0,Unemployed,20000,Medium,No,
,N/A,Other,New York,2BHK,32GB,300,No,Divorced,,,10000,Low,No,
28,90000,Female,Los Angeles,3BHK,4GB,500,Yes,,2,Business,Unknown,Low,No,No
45,,,Los Angeles,1BHK,,300,Yes,,,,20000,Low,No,Yes
28,60000,,New York,3BHK,2GB,,Yes,Single,3,Self-Employed,20000,Medium,No,No
28,1500000,,Chicago,Studio,,300,Yes,Divorced,,Business,150000,Medium,No,Yes
25,90000,Female,,2BHK,8GB,600,Yes,Widowed,N/A,,,,No,Yes
45,50000,Other,,3BHK,16GB,800,Yes,Single,,Unemployed,10000,Very High,No,Yes
,70000,Male,,3BHK,,700,Yes,Divorced,N/A,Self-Employed,50000,Very High,No,Yes
40,90000,Male,,1BHK,,300,Yes,Divorced,0,Self-Employed,20000,,No,
,90000,Other,Chicago,3BHK,32GB,Poor,Yes,Single,2,Self-Employed,150000,,No,No
,60000,F,Chicago,3BHK,2GB,Poor,Yes,,1,Business,5000,Low,No,No
,80000,,New York,4bhk,8GB,400,Yes,Divorced,1,Salaried,5000,,No,
,90000,,Chicago,2BHK,32GB,,Yes,,2,Business,50000,Medium,No,
,N/A,F,New York,1BHK,32GB,,Yes,Single,1,,Unknown,High,No,No
25,1500000,,Los Angeles,Studio,2GB,Poor,Yes,,,Salaried,10000,Medium,No,Yes
Unknown,60000,F,Los Angeles,3BHK,16GB,300,Yes,Married,0,,150000,,No,Yes
30,90000,Male,New York,3BHK,16GB,800,Yes,Widowed,0,Salaried,,Very High,No,
25,70000,Other,,3BHK,2GB,300,Yes,Divorced,2,Business,150000,Medium,No,No
,90000,Male,,4bhk,,500,Yes,Widowed,1,Self-Employed,5000,Very High,No,
,90000,F,Chicago,1BHK,,,Yes,,,Unemployed,5000,Medium,No,
28,90000,Male,Chicago,3BHK,,Poor,Yes,Divorced,0,Self-Employed,50000,Very High,No,No
30,N/A,F,Chicago,2BHK,8GB,700,Yes,,0,Business,Unknown,Medium,No,Yes
28,60000,Male,Los Angeles,3BHK,2GB,700,Yes,Married,3,Salaried,Unknown,Very High,No,Yes
30,90000,F,Los Angeles,Studio,8GB,Poor,Yes,Single,3,Self-Employed,50000,High,No,Yes
28,50000,,New York,Studio,,700,Yes,Divorced,0,Business,150000,Low,No,Yes
28,N/A,Male,New York,3BHK,32GB,300,Yes,Married,2,,5000,Medium,No,Yes
30,70000,Other,New York,Studio,,800,Yes,Married,N/A,Unemployed,150000,High,No,Yes
Unknown,60000,Other,New York,3BHK,2GB,,Yes,Divorced,N/A,Self-Employed,150000,Low,No,No
,70000,,,2BHK,2GB,500,Yes,,,Salaried,10000,Medium,No,No
30,70000,F,Chicago,2BHK,8GB,500,Yes,Married,0,,5000,High,No,Yes
25,90000,Male,New York,3BHK,2GB,Poor,Yes,Widowed,0,Business,Unknown,High,No,
,N/A,Female,,2BHK,8GB,Excellent,Yes,Married,0,Unemployed,,High,No,
Unknown,60000,Other,Chicago,4bhk,2GB,400,No,,2,Salaried,150000,,No,
30,70000,Other,,3BHK,8GB,800,Yes,,3,Business,5000,Very High,No,No
30,60000,Male,New York,3BHK,16GB,,Yes,Widowed,0,Business,150000,Low,No,Yes
Unknown,N/A,,New York,4bhk,8GB,Poor,Yes,Married,0,Self-Employed,10000,Very High,No,Yes
,60000,F,Los Angeles,Studio,16GB,700,Yes,,1,Self-Employed,20000,Very High,Yes,
40,80000,,,4bhk,8GB,300,Yes,Divorced,2,Salaried,5000,Very High,No,Yes
30,50000,Male,New York,Studio,16GB,Excellent,Yes,Single,,Business,50000,High,No,
30,N/A,Male,Chicago,2BHK,,600,Yes,Single,0,Self-Employed,20000,Very High,No,Yes
25,80000,Other,,1BHK,6GB,Excellent,Yes,Single,1,Unemployed,150000,,No,
30,1500000,Female,,Studio,32GB,Poor,Yes,Married,N/A,Unemployed,50000,Medium,No,
28,70000,,Chicago,3BHK,16GB,,Yes,Widowed,,Business,50000,High,No,Yes
45,1500000,,New York,Studio,,400,No,,0,Self-Employed,50000,Low,No,Yes
,60000,Male,Chicago,Studio,32GB,500,Yes,Divorced,0,Salaried,5000,Medium,No,Yes
28,70000,,Los Angeles,4bhk,2GB,400,Yes,Divorced,1,Salaried,Unknown,Medium,No,No
Unknown,50000,M,New York,3BHK,2GB,800,No,Married,2,Salaried,150000,Medium,No,No
,1500000,,New York,Studio,8GB,500,Yes,Single,0,Unemployed,20000,Very High,No,Yes
30,,Male,Chicago,1BHK,,500,Yes,Married,N/A,Self-Employed,10000,Very High,No,Yes
45,70000,Male,New York,2BHK,16GB,300,Yes,Widowed,0,Self-Employed,Unknown,High,No,Yes
Unknown,,Male,New York,3BHK,8GB,Poor,No,Widowed,N/A,Unemployed,150000,Very High,No,Yes
28,90000,Male,New York,3BHK,16GB,500,Yes,,,Salaried,5000,Very High,No,Yes
30,80000,Male,New York,3BHK,16GB,600,Yes,,,Salaried,50000,Very High,No,No
25,,Male,,2BHK,4GB,,Yes,Widowed,3,Business,10000,High,No,
45,80000,F,New York,Studio,2GB,300,Yes,Widowed,3,,150000,High,No,Yes
28,90000,Female,Chicago,2BHK,8GB,600,Yes,Widowed,N/A,Self-Employed,20000,,No,No
,90000,F,Los Angeles,4bhk,8GB,Excellent,Yes,Married,2,Self-Employed,150000,,No,No
28,60000,F,Chicago,Studio,,,Yes,Widowed,0,Self-Employed,Unknown,,No,Yes
,70000,Male,Los Angeles,3BHK,6GB,400,Yes,Divorced,0,,,,No,
,80000,,,1BHK,32GB,Poor,Yes,Single,3,Business,Unknown,Medium,No,Yes
28,60000,,New York,4bhk,2GB,600,No,Widowed,N/A,,150000,Medium,Yes,No
28,N/A,Female,Los Angeles,4bhk,2GB,300,Yes,Single,0,Salaried,10000,,No,
,90000,,Chicago,3BHK,,500,Yes,Married,0,Salaried,150000,,No,No
28,70000,Female,Chicago,2BHK,16GB,,Yes,Single,2,Self-Employed,150000,Low,No,No
25,50000,Male,Chicago,3BHK,4GB,800,Yes,Married,1,Unemployed,5000,Medium,No,Yes
,1500000,F,New York,1BHK,32GB,600,Yes,Divorced,3,Self-Employed,20000,Low,No,Yes
,1500000,,Los Angeles,3BHK,8GB,,Yes,Married,3,Unemployed,10000,Low,No,Yes
Unknown,80000,Other,Los Angeles,Studio,8GB,600,Yes,Married,1,,150000,Very High,No,Yes
30,90000,Male,New York,Studio,8GB,700,Yes,,0,Salaried,50000,High,No,Yes
40,N/A,Other,,3BHK,8GB,Excellent,Yes,Widowed,2,Unemployed,20000,Medium,No,
,70000,Male,Chicago,2BHK,8GB,500,Yes,Widowed,2,,Unknown,,No,
,70000,,,2BHK,8GB,700,Yes,Divorced,3,Salaried,10000,,No,
28,60000,Other,,Studio,32GB,400,Yes,Divorced,2,Unemployed,Unknown,High,No,No
25,80000,,New York,Studio,,600,Yes,Widowed,,Self-Employed,150000,Medium,No,Yes
28,1500000,Female,Los Angeles,1BHK,32GB,700,Yes,,1,Self-Employed,Unknown,,No,Yes
28,1500000,Male,Chicago,Studio,32GB,700,Yes,Widowed,0,Self-Employed,Unknown,,No,No
30,1500000,,Los Angeles,3BHK,,500,Yes,,,,5000,Very High,No,Yes
28,N/A,Female,New York,2BHK,8GB,700,Yes,Divorced,1,Self-Employed,Unknown,Low,No,No
25,70000,,New York,Studio,16GB,Poor,Yes,Single,N/A,Business,50000,,No,
25,N/A,Male,Los Angeles,3BHK,32GB,500,Yes,Divorced,3,Salaried,50000,Medium,No,Yes
,N/A,Other,Los Angeles,Studio,2GB,400,Yes,Divorced,2,,20000,High,No,No
,60000,Other,Los Angeles,4bhk,,,Yes,Married,N/A,Self-Employed,150000,Very High,No,
28,90000,Female,Los Angeles,2BHK,2GB,,Yes,Married,2,Salaried,,Medium,Yes,Yes
28,80000,Female,New York,2BHK,2GB,600,Yes,Married,,Unemployed,Unknown,Very High,No,Yes
35,N/A,Male,Los Angeles,3BHK,,300,Yes,Married,0,Self-Employed,Unknown,Low,No,Yes
30,80000,M,Los Angeles,Studio,8GB,,No,,0,Salaried,10000,,No,Yes
Unknown,1500000,Male,Los Angeles,2BHK,2GB,700,Yes,Widowed,0,Business,5000,Medium,No,Yes
,50000,,Chicago,4bhk,8GB,500,No,Single,2,Unemployed,,High,No,Yes
28,90000,,New York,Studio,16GB,300,Yes,Divorced,N/A,Business,20000,Low,No,
28,70000,F,Chicago,4bhk,8GB,,Yes,,0,Salaried,,Low,No,
,60000,Female,Los Angeles,Studio,16GB,400,No,Single,N/A,Business,Unknown,Very High,No,
30,90000,F,Los Angeles,2BHK,8GB,300,Yes,,2,Salaried,10000,Low,No,No
,90000,M,New York,Studio,8GB,,Yes,,,Salaried,150000,Medium,No,Yes
28,60000,Male,Chicago,2BHK,2GB,Poor,No,Divorced,N/A,Business,5000,Very High,No,
28,1500000,M,Chicago,1BHK,,,Yes,Widowed,,Salaried,150000,Low,Yes,
30,70000,Male,Chicago,Studio,,300,Yes,Married,2,Self-Employed,20000,High,No,Yes
30,90000,Male,Los Angeles,3BHK,32GB,400,Yes,Widowed,2,Salaried,,Medium,No,
40,80000,Other,Los Angeles,4bhk,2GB,,Yes,Divorced,3,,20000,High,No,
Unknown,1500000,Other,New York,Studio,,700,Yes,Divorced,2,Salaried,Unknown,High,No,
45,90000,Female,Los Angeles,2BHK,32GB,700,Yes,Divorced,2,,20000,Very High,No,Yes
28,N/A,Female,Los Angeles,2BHK,4GB,400,Yes,Single,1,Salaried,150000,,No,No
30,,,Chicago,1BHK,16GB,600,Yes,Widowed,0,Salaried,10000,Very High,No,Yes
,80000,,Los Angeles,3BHK,4GB,500,Yes,Widowed,3,Business,20000,Medium,No,Yes
28,90000,,New York,2BHK,32GB,600,Yes,,3,Self-Employed,50000,Medium,No,
,70000,Male,New York,3BHK,16GB,600,Yes,,3,Self-Employed,10000,Very High,No,
30,80000,Other,Los Angeles,2BHK,8GB,700,Yes,,1,Unemployed,,,No,Yes
,80000,,New York,3BHK,2GB,300,Yes,Divorced,,Business,5000,Very High,No,No
30,90000,Male,New York,2BHK,32GB,Excellent,Yes,Widowed,2,Business,5000,Medium,No,
28,1500000,Male,,4bhk,,500,No,Divorced,0,Self-Employed,Unknown,,No,Yes
28,70000,F,Los Angeles,3BHK,16GB,Poor,Yes,Single,N/A,Business,Unknown,Medium,No,
